SMILES,cat_1_id,cat_2_id
CC(=O)Nc1nc(-c2ccccc2)c(Cc2cccc3ccccc23)c(=O)[nH]1,13152,13152
CCCSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13154,13154
CCCCSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13156,13156
CC(C)Sc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13158,13158
C=CCSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13162,13162
C=CCc1c(nc(SCc2ccccc2)[nH]c1=O)-c1ccccc1,13164,13164
CCCCCSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13166,13166
CC(=C)CSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13168,13168
OC(=O)CSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13170,13170
OC(=O)CCSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13172,13172
CC(Sc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1)C(O)=O,13174,13174
CCCCC(Sc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1)C(O)=O,13176,13176
C=CCc1c(nc(SCc2cccc3ccccc23)[nH]c1=O)-c1ccccc1,13178,13178
NC(=O)CSc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13180,13180
COc1ccc(CSc2nc(c(CC=C)c(=O)[nH]2)-c2ccccc2)cc1[N+]([O-])=O,13182,13182
COc1ccc(CSc2nc(c(CC=C)c(=O)[nH]2)-c2ccccc2)cc1Br,13184,13184
C=CCc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13186,13186
C=CCc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13188,13188
Nc1nc(-c2ccccc2)c(CC=C)c(=O)[nH]1,13190,13190
COC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13194,13194
CCOC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13196,13196
CCCOC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13198,13198
CC(C)COC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13200,13200
CCCCCOC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13202,13202
ClCCOC(=O)Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,13204,13204
COC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13206,13206
CCOC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13208,13208
CCCOC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13210,13210
CCCCCOC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13212,13212
ClCCOC(=O)Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,13214,13214
COC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13216,13216
CCOC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13218,13218
CCCOC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13220,13220
CCCCCOC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13222,13222
CC(C)COC(=O)Cc1c(nc(N)[nH]c1=O)-c1ccccc1,13224,13224
Nc1nc(-c2ccccc2)c(CC(=O)OCCCl)c(=O)[nH]1,13226,13226
COc1ccc(Cn2c(Cl)cc(=O)[nH]c2=O)cc1Cl,13228,13228
COc1ccc(Cn2c(Cl)cc(=O)[nH]c2=O)cc1Br,13230,13230
COc1ccc(Cn2c(Cl)cc(=O)n(C)c2=O)cc1Cl,13232,13232
COc1ccc(Cn2c(Cl)cc(=O)n(C)c2=O)cc1Br,13234,13234
CCOC(=O)Cn1c(=O)cc(Cl)n(Cc2ccc(OC)c(Cl)c2)c1=O,13236,13236
CCOC(=O)Cn1c(=O)cc(Cl)n(Cc2ccc(OC)c(Br)c2)c1=O,13238,13238
CCOC(=O)Cn1c(=O)cc(Cl)n(Cc2ccc(OC)c(c2)[N+]([O-])=O)c1=O,13240,13240
COc1ccc(Cn2c(OC)cc(=O)n(C)c2=O)cc1Cl,13242,13242
COc1ccc(Cn2c(OC)cc(=O)n(C)c2=O)cc1Br,13244,13244
COc1ccc(Cn2c(OC)cc(=O)n(C)c2=O)cc1[N+]([O-])=O,13246,13246
CCOc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(Cl)c1,13248,13248
CCOc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(Br)c1,13250,13250
CCOc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(c1)[N+]([O-])=O,13252,13252
CNc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(Cl)c1,13254,13254
CNc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(Br)c1,13256,13256
